batch_id,run_id,error,count,has_final_summary
C1,layered__omega030__ppw08__N039__base__hybrid1x10,reference prep failed for layered__omega030__ppw08__N039__base__hybrid1x10,1,True
C1,layered__omega030__ppw08__N039__base__pde,train failed for layered__omega030__ppw08__N039__base__pde,1,True
C1,layered__omega030__ppw08__N039__deep__hybrid1x10,reference prep failed for layered__omega030__ppw08__N039__deep__hybrid1x10,1,True
C1,layered__omega030__ppw08__N039__deep__pde,train failed for layered__omega030__ppw08__N039__deep__pde,1,True
C1,layered__omega030__ppw12__N058__base__hybrid1x10,reference prep failed for layered__omega030__ppw12__N058__base__hybrid1x10,1,True
C1,layered__omega030__ppw12__N058__base__pde,train failed for layered__omega030__ppw12__N058__base__pde,1,True
C1,layered__omega030__ppw12__N058__deep__hybrid1x10,reference prep failed for layered__omega030__ppw12__N058__deep__hybrid1x10,1,True
C1,layered__omega030__ppw12__N058__deep__pde,train failed for layered__omega030__ppw12__N058__deep__pde,1,True
C1,layered__omega030__ppw16__N077__base__hybrid1x10,reference prep failed for layered__omega030__ppw16__N077__base__hybrid1x10,1,True
C1,layered__omega030__ppw16__N077__base__pde,train failed for layered__omega030__ppw16__N077__base__pde,1,True
C1,layered__omega030__ppw16__N077__deep__hybrid1x10,reference prep failed for layered__omega030__ppw16__N077__deep__hybrid1x10,1,True
C1,layered__omega030__ppw16__N077__deep__pde,train failed for layered__omega030__ppw16__N077__deep__pde,1,True
C1,layered__omega060__ppw08__N077__base__hybrid1x10,reference prep failed for layered__omega060__ppw08__N077__base__hybrid1x10,1,True
C1,layered__omega060__ppw08__N077__base__pde,train failed for layered__omega060__ppw08__N077__base__pde,1,True
C1,layered__omega060__ppw08__N077__deep__hybrid1x10,reference prep failed for layered__omega060__ppw08__N077__deep__hybrid1x10,1,True
C1,layered__omega060__ppw08__N077__deep__pde,train failed for layered__omega060__ppw08__N077__deep__pde,1,True
C1,layered__omega060__ppw12__N115__base__hybrid1x10,reference prep failed for layered__omega060__ppw12__N115__base__hybrid1x10,1,True
C1,layered__omega060__ppw12__N115__base__pde,train failed for layered__omega060__ppw12__N115__base__pde,1,True
C1,layered__omega060__ppw12__N115__deep__hybrid1x10,reference prep failed for layered__omega060__ppw12__N115__deep__hybrid1x10,1,True
C1,layered__omega060__ppw12__N115__deep__pde,train failed for layered__omega060__ppw12__N115__deep__pde,1,True
C1,layered__omega060__ppw16__N153__base__hybrid1x10,reference prep failed for layered__omega060__ppw16__N153__base__hybrid1x10,1,True
C1,layered__omega060__ppw16__N153__base__pde,train failed for layered__omega060__ppw16__N153__base__pde,1,True
C1,layered__omega060__ppw16__N153__deep__hybrid1x10,reference prep failed for layered__omega060__ppw16__N153__deep__hybrid1x10,1,True
C1,layered__omega060__ppw16__N153__deep__pde,train failed for layered__omega060__ppw16__N153__deep__pde,1,True
C1,layered__omega090__ppw08__N115__base__hybrid1x10,reference prep failed for layered__omega090__ppw08__N115__base__hybrid1x10,1,True
C1,layered__omega090__ppw08__N115__base__pde,train failed for layered__omega090__ppw08__N115__base__pde,1,True
