batch_id,batch_name,run_id,has_summary,omega,ppw_est,grid_nx,velocity_model,pml_width,pml_power,pml_R0,reference_residual_rmse,reference_residual_max,device,local_output_dir
C0,reference_gate,homogeneous__omega030__N064__pml08,True,30.0,13.40412865531645,64,homogeneous,8,2,1e-06,0.0,0.0,cuda:0,/Users/ccf/Desktop/开题汇总/开题X/kaiti-highk-results-ep10000/C0_reference_gate/homogeneous__omega030__N064__pml08
C0,reference_gate,homogeneous__omega030__N064__pml16,True,30.0,13.40412865531645,64,homogeneous,16,2,1e-06,0.0,0.0,cuda:0,/Users/ccf/Desktop/开题汇总/开题X/kaiti-highk-results-ep10000/C0_reference_gate/homogeneous__omega030__N064__pml16
C0,reference_gate,homogeneous__omega030__N064__pml24,True,30.0,13.40412865531645,64,homogeneous,24,2,1e-06,0.0,0.0,cuda:0,/Users/ccf/Desktop/开题汇总/开题X/kaiti-highk-results-ep10000/C0_reference_gate/homogeneous__omega030__N064__pml24
C0,reference_gate,homogeneous__omega030__N128__pml08,True,30.0,26.8082573106329,128,homogeneous,8,2,1e-06,0.0,0.0,cuda:0,/Users/ccf/Desktop/开题汇总/开题X/kaiti-highk-results-ep10000/C0_reference_gate/homogeneous__omega030__N128__pml08
C0,reference_gate,homogeneous__omega030__N128__pml16,True,30.0,26.8082573106329,128,homogeneous,16,2,1e-06,0.0,0.0,cuda:0,/Users/ccf/Desktop/开题汇总/开题X/kaiti-highk-results-ep10000/C0_reference_gate/homogeneous__omega030__N128__pml16
C0,reference_gate,homogeneous__omega030__N128__pml24,True,30.0,26.8082573106329,128,homogeneous,24,2,1e-06,0.0,0.0,cuda:0,/Users/ccf/Desktop/开题汇总/开题X/kaiti-highk-results-ep10000/C0_reference_gate/homogeneous__omega030__N128__pml24
C0,reference_gate,homogeneous__omega030__N192__pml08,True,30.0,40.21238596594935,192,homogeneous,8,2,1e-06,0.0,0.0,cuda:0,/Users/ccf/Desktop/开题汇总/开题X/kaiti-highk-results-ep10000/C0_reference_gate/homogeneous__omega030__N192__pml08
C0,reference_gate,homogeneous__omega030__N192__pml16,True,30.0,40.21238596594935,192,homogeneous,16,2,1e-06,0.0,0.0,cuda:0,/Users/ccf/Desktop/开题汇总/开题X/kaiti-highk-results-ep10000/C0_reference_gate/homogeneous__omega030__N192__pml16
C0,reference_gate,homogeneous__omega030__N192__pml24,True,30.0,40.21238596594935,192,homogeneous,24,2,1e-06,0.0,0.0,cuda:0,/Users/ccf/Desktop/开题汇总/开题X/kaiti-highk-results-ep10000/C0_reference_gate/homogeneous__omega030__N192__pml24
C0,reference_gate,homogeneous__omega060__N064__pml08,True,60.0,6.702064327658225,64,homogeneous,8,2,1e-06,0.0,0.0,cuda:0,/Users/ccf/Desktop/开题汇总/开题X/kaiti-highk-results-ep10000/C0_reference_gate/homogeneous__omega060__N064__pml08
C0,reference_gate,homogeneous__omega060__N064__pml16,True,60.0,6.702064327658225,64,homogeneous,16,2,1e-06,0.0,0.0,cuda:0,/Users/ccf/Desktop/开题汇总/开题X/kaiti-highk-results-ep10000/C0_reference_gate/homogeneous__omega060__N064__pml16
